"territory","country","state_province","city","type","line","vendor","product","year","quarter","month","credit_limit","customer","quantity","sales"
"APAC","Australia","NSW","Chatswood","In Process","Classic Cars","Carousel DieCast Legends","1966 Shelby Cobra 427 S/C","2005","QTR2","May","93300","Souveniers And Things Co.","37","2234"
"APAC","Australia","NSW","Chatswood","In Process","Classic Cars","Classic Metal Creations","1949 Jaguar XK 120","2005","QTR2","May","93300","Souveniers And Things Co.","39","3934"
"APAC","Australia","NSW","Chatswood","In Process","Classic Cars","Exoto Designs","1952 Citroen-15CV","2005","QTR2","May","93300","Souveniers And Things Co.","55","5297"
"APAC","Australia","NSW","Chatswood","In Process","Classic Cars","Exoto Designs","1969 Chevrolet Camaro Z28","2005","QTR2","May","93300","Souveniers And Things Co.","35","3386"
"APAC","Australia","NSW","Chatswood","In Process","Classic Cars","Gearbox Collectibles","2002 Chevy Corvette","2005","QTR2","May","93300","Souveniers And Things Co.","26","2617"
"APAC","Australia","NSW","Chatswood","In Process","Classic Cars","Studio M Art Models","1957 Ford Thunderbird","2005","QTR2","May","93300","Souveniers And Things Co.","36","2078"
"APAC","Australia","NSW","Chatswood","In Process","Classic Cars","Unimax Art Galleries","1970 Chevy Chevelle SS 454","2005","QTR2","May","93300","Souveniers And Things Co.","60","3880"
"APAC","Australia","NSW","Chatswood","In Process","Vintage Cars","Autoart Studio Design","1932 Model A Ford J-Coupe","2005","QTR2","May","93300","Souveniers And Things Co.","45","4977"
"APAC","Australia","NSW","Chatswood","In Process","Vintage Cars","Exoto Designs","1932 Alfa Romeo 8C2300 Spider Sport","2005","QTR2","May","93300","Souveniers And Things Co.","66","6135"
"APAC","Australia","NSW","Chatswood","In Process","Vintage Cars","Motor City Art Classics","1911 Ford Town Car","2005","QTR2","May","93300","Souveniers And Things Co.","36","2289"
"APAC","Australia","NSW","Chatswood","In Process","Vintage Cars","Motor City Art Classics","1939 Chevrolet Deluxe Coupe","2005","QTR2","May","93300","Souveniers And Things Co.","45","1210"
"APAC","Australia","NSW","Chatswood","In Process","Vintage Cars","Red Start Diecast","1936 Mercedes Benz 500k Roadster","2005","QTR2","May","93300","Souveniers And Things Co.","15","652"
"APAC","Australia","NSW","Chatswood","In Process","Vintage Cars","Welly Diecast Productions","1917 Grand Touring Sedan","2005","QTR2","May","93300","Souveniers And Things Co.","37","5284"
"APAC","Australia","NSW","Chatswood","Shipped","Classic Cars","Carousel DieCast Legends","1982 Camaro Z28","2004","QTR3","Jul","93300","Souveniers And Things Co.","46","4048"
"APAC","Australia","NSW","Chatswood","Shipped","Classic Cars","Classic Metal Creations","1952 Alpine Renault 1300","2004","QTR3","Jul","93300","Souveniers And Things Co.","21","4905"
"APAC","Australia","NSW","Chatswood","Shipped","Classic Cars","Second Gear Diecast","1962 LanciaA Delta 16V","2004","QTR3","Jul","93300","Souveniers And Things Co.","32","4302"
"APAC","Australia","NSW","Chatswood","Shipped","Motorcycles","Highway 66 Mini Classics","1996 Moto Guzzi 1100i","2004","QTR4","Dec","93300","Souveniers And Things Co.","26","1330"
"APAC","Australia","NSW","Chatswood","Shipped","Motorcycles","Min Lin Diecast","1969 Harley Davidson Ultimate Chopper","2004","QTR4","Dec","93300","Souveniers And Things Co.","20","1451"
"APAC","Australia","NSW","Chatswood","Shipped","Planes","Highway 66 Mini Classics","ATA: B757-300","2004","QTR4","Dec","93300","Souveniers And Things Co.","44","3186"
"APAC","Australia","NSW","Chatswood","Shipped","Planes","Min Lin Diecast","American Airlines: B767-300","2004","QTR4","Dec","93300","Souveniers And Things Co.","20","1211"
"APAC","Australia","NSW","Chatswood","Shipped","Planes","Motor City Art Classics","America West Airlines B757-200","2004","QTR4","Dec","93300","Souveniers And Things Co.","26","2755"
"APAC","Australia","NSW","Chatswood","Shipped","Planes","Motor City Art Classics","Boeing X-32A JSF","2004","QTR4","Dec","93300","Souveniers And Things Co.","23","2190"
"APAC","Australia","NSW","Chatswood","Shipped","Planes","Motor City Art Classics","F/A 18 Hornet 1/72","2004","QTR4","Dec","93300","Souveniers And Things Co.","44","5002"
